EpiRR Ordering,EpiRR,Biospecimen Disease,Broad Biospecimen Label,Broad Colour,Intermediate Biospecimen Label,Intermediate Colour,Curated Biospecimen Label
560,IHECRE00000222.3,Disease,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Follicular Adenoma
561,IHECRE00003684.3,Cancer,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Papillary Carcinoma
562,IHECRE00001236.5,Cancer,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Papillary Carcinoma
563,IHECRE00003686.3,Cancer,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Papillary Carcinoma
564,IHECRE00003691.3,Disease,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
565,IHECRE00003694.3,Disease,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
566,IHECRE00003696.3,Disease,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
567,IHECRE00000235.3,Disease,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
568,IHECRE00003690.3,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
569,IHECRE00003693.3,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
570,IHECRE00003695.3,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
571,IHECRE00003683.3,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
572,IHECRE00001235.5,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
573,IHECRE00003685.2,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
574,IHECRE00000236.3,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
575,IHECRE00004717.2,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
576,IHECRE00004661.5,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
577,IHECRE00000230.3,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
578,IHECRE00004641.5,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
579,IHECRE00004631.5,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
580,IHECRE00000233.3,Healthy/None,endoderm-derived structure,"47,71,132",thyroid gland,"36,106,96",Thyroid Tissue
581,IHECRE00000934.7,Healthy/None,endoderm-derived structure,"47,71,132",thymus,"47,71,132",Thymus Tissue
582,IHECRE00000969.7,Healthy/None,endoderm-derived structure,"47,71,132",thymus,"47,71,132",Thymus Tissue
583,IHECRE00004669.6,Healthy/None,endoderm-derived structure,"47,71,132",prostate gland,"36,106,96",Prostate Tissue
584,IHECRE00000963.7,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Adipocyte Subcutaneous Mixed
585,IHECRE00004648.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Adrenal Gland Tissue
586,IHECRE00000927.6,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Adrenal Gland Tissue
587,IHECRE00004646.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Adrenal Gland Tissue
588,IHECRE00004637.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Adrenal Gland Tissue
589,IHECRE00000924.7,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Amnion Tissue
590,IHECRE00000938.7,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Aorta Artery Tissue
591,IHECRE00004700.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Aorta Artery Tissue
592,IHECRE00004640.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Aorta Artery Tissue
593,IHECRE00004696.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Ascending Aorta
594,IHECRE00004705.6,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Ascending Aorta
595,IHECRE00004886.1,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Chorion Tissue
596,IHECRE00004879.1,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Chorion Tissue
597,IHECRE00004891.1,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Chorion Tissue
598,IHECRE00004672.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Heart Atrium Right Tissue
599,IHECRE00000936.7,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Heart Atrium Right Tissue
600,IHECRE00001049.7,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Heart Tissue
601,IHECRE00004714.2,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Heart Ventricle Left Tissue
602,IHECRE00004664.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Heart Ventricle Left Tissue
603,IHECRE00000957.7,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Heart Ventricle Left Tissue
604,IHECRE00000980.8,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Heart Ventricle Right Tissue
605,IHECRE00004671.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Spleen Tissue
606,IHECRE00000972.6,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Spleen Tissue
607,IHECRE00004647.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Spleen Tissue
608,IHECRE00004684.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Tibial Artery Tissue
609,IHECRE00004682.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Tibial Artery Tissue
610,IHECRE00004632.5,Healthy/None,mesoderm-derived structure,"74,38,157",mesoderm-derived structure,"74,38,157",Vaginal Tissue
611,IHECRE00004591.1,Disease,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
612,IHECRE00001964.2,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
613,IHECRE00001952.2,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
614,IHECRE00001954.2,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
615,IHECRE00004592.1,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
616,IHECRE00004594.1,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
617,IHECRE00004595.1,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
618,IHECRE00004740.1,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
619,IHECRE00003716.2,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
620,IHECRE00001965.2,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
621,IHECRE00004737.1,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
622,IHECRE00004738.1,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
623,IHECRE00004739.1,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
624,IHECRE00001957.2,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
625,IHECRE00004735.1,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
626,IHECRE00004723.1,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
627,IHECRE00004736.1,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
628,IHECRE00004724.1,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Cytotrophoblast
629,IHECRE00004590.1,Disease,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Placental Cell
630,IHECRE00004593.1,Disease,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Placental Cell
631,IHECRE00001953.2,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Syncytiotrophoblast
632,IHECRE00001960.2,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Syncytiotrophoblast
633,IHECRE00001962.2,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Syncytiotrophoblast
634,IHECRE00001963.2,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Syncytiotrophoblast
635,IHECRE00000974.7,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Trophoblast
636,IHECRE00001955.3,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Trophoblast
637,IHECRE00001958.3,Healthy/None,extraembryonic cell,"76,110,194",extraembryonic cell,"76,110,194",Trophoblast
638,IHECRE00004912.1,Healthy/None,placenta,"91,80,208",placenta,"91,80,208",Amniotic Membrane Tissue
639,IHECRE00004877.1,Healthy/None,placenta,"91,80,208",placenta,"91,80,208",Amniotic Membrane Tissue
640,IHECRE00004884.1,Healthy/None,placenta,"91,80,208",placenta,"91,80,208",Basal Plate And Chorionic Villi Tissue
641,IHECRE00004880.1,Healthy/None,placenta,"91,80,208",placenta,"91,80,208",Basal Plate And Chorionic Villi Tissue
642,IHECRE00004908.1,Healthy/None,placenta,"91,80,208",placenta,"91,80,208",Basal Plate And Chorionic Villi Tissue
643,IHECRE00004900.1,Healthy/None,placenta,"91,80,208",placenta,"91,80,208",Chorionic Villi Tissue
644,IHECRE00004883.1,Healthy/None,placenta,"91,80,208",placenta,"91,80,208",Chorionic Villi Tissue
645,IHECRE00004897.1,Healthy/None,placenta,"91,80,208",placenta,"91,80,208",Chorionic Villi Tissue
646,IHECRE00000988.6,Healthy/None,placenta,"91,80,208",placenta,"91,80,208",Placental Tissue
647,IHECRE00004876.1,Healthy/None,placenta,"91,80,208",trophoblast,"99,145,226",Trophoblast Tissue
648,IHECRE00004903.1,Healthy/None,placenta,"91,80,208",trophoblast,"99,145,226",Trophoblast Tissue
649,IHECRE00004890.1,Healthy/None,placenta,"91,80,208",trophoblast,"99,145,226",Trophoblast Tissue
650,IHECRE00000807.3,Healthy/None,stem cell,"74,57,107",induced pluripotent stem cell,"79,64,140",Induced Pluripotent Stem Cell
651,IHECRE00001055.7,Healthy/None,stem cell,"74,57,107",induced pluripotent stem cell,"79,64,140",Induced Pluripotent Stem Cell
652,IHECRE00000664.3,Healthy/None,stem cell,"74,57,107",induced pluripotent stem cell,"79,64,140",Induced Pluripotent Stem Cell
653,IHECRE00000914.1,Healthy/None,stem cell,"74,57,107",induced pluripotent stem cell,"79,64,140",Induced Pluripotent Stem Cell
654,IHECRE00000941.6,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Embryonic Stem Cell
655,IHECRE00000962.7,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Embryonic Stem Cell
656,IHECRE00000985.7,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Embryonic Stem Cell
657,IHECRE00001000.7,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Embryonic Stem Cell
658,IHECRE00001037.6,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Embryonic Stem Cell
659,IHECRE00003700.7,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Embryonic Stem Cell
660,IHECRE00004663.5,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Embryonic Stem Cell
661,IHECRE00000961.6,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Embryonic Stem Cell
662,IHECRE00001050.8,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Embryonic Stem Cell
663,IHECRE00001889.7,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Embryonic Stem Cell
664,IHECRE00004601.1,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Extravillous Cytotrophoblast Cell
665,IHECRE00003727.1,Disease,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Induced Pluripotent Stem Cell
666,IHECRE00000996.7,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Induced Pluripotent Stem Cell
667,IHECRE00003724.1,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Induced Pluripotent Stem Cell
668,IHECRE00000997.7,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Induced Pluripotent Stem Cell
669,IHECRE00000999.7,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Induced Pluripotent Stem Cell
670,IHECRE00001054.7,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Induced Pluripotent Stem Cell
671,IHECRE00003710.6,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Induced Pluripotent Stem Cell
672,IHECRE00003728.1,Disease,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Neuronal Progenitor Cell
673,IHECRE00003729.1,Disease,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Neuronal Progenitor Cell
674,IHECRE00003725.1,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Neuronal Progenitor Cell
675,IHECRE00003726.1,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Neuronal Progenitor Cell
676,IHECRE00004599.1,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Syncitiotrophoblast Cell
677,IHECRE00004600.1,Healthy/None,stem cell,"74,57,107",stem cell derived cell line,"85,72,174",Trophoblast Cell
678,IHECRE00004686.5,Healthy/None,stem cell,"74,57,107",stem cell,"74,57,107",Heart Cardioblast Stem Cell
679,IHECRE00004712.5,Healthy/None,stem cell,"74,57,107",stem cell,"74,57,107",Neuroepithelial Stem Cell
680,IHECRE00003820.2,Healthy/None,germ line cell,"100,183,237",germ line cell,"100,183,237",Sperm
681,IHECRE00003823.2,Healthy/None,germ line cell,"100,183,237",germ line cell,"100,183,237",Sperm
682,IHECRE00003831.2,Healthy/None,germ line cell,"100,183,237",germ line cell,"100,183,237",Sperm
683,IHECRE00003840.2,Healthy/None,germ line cell,"100,183,237",germ line cell,"100,183,237",Sperm
684,IHECRE00001423.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Acute Myeloid Leukemia
685,IHECRE00001421.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
686,IHECRE00001434.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
687,IHECRE00001553.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
688,IHECRE00001334.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
689,IHECRE00001465.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
690,IHECRE00001470.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
691,IHECRE00000153.3,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
692,IHECRE00001291.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
693,IHECRE00001350.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
694,IHECRE00001428.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
695,IHECRE00001349.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
696,IHECRE00001523.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
697,IHECRE00001530.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
698,IHECRE00000152.3,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
699,IHECRE00001266.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
700,IHECRE00001343.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
701,IHECRE00001429.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
702,IHECRE00001452.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
703,IHECRE00001513.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
704,IHECRE00001352.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
705,IHECRE00001430.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
706,IHECRE00001537.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
707,IHECRE00001261.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
708,IHECRE00001336.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
709,IHECRE00001347.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
710,IHECRE00001455.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
711,IHECRE00001504.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
712,IHECRE00001402.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
713,IHECRE00001463.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
714,IHECRE00001475.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
715,IHECRE00001534.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
716,IHECRE00001295.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
717,IHECRE00001451.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
718,IHECRE00001487.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
719,IHECRE00001500.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
720,IHECRE00000290.2,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
721,IHECRE00001247.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
722,IHECRE00001279.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
723,IHECRE00001358.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
724,IHECRE00001441.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
725,IHECRE00001494.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
726,IHECRE00001506.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
727,IHECRE00001257.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
728,IHECRE00001272.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
729,IHECRE00001325.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
730,IHECRE00001348.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
731,IHECRE00001396.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
732,IHECRE00001541.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
733,IHECRE00001262.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
734,IHECRE00001511.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
735,IHECRE00001545.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
736,IHECRE00001240.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
737,IHECRE00001274.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
738,IHECRE00001287.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
739,IHECRE00001318.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
740,IHECRE00001344.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
741,IHECRE00001382.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
742,IHECRE00001388.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
743,IHECRE00001420.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
744,IHECRE00001433.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
745,IHECRE00001491.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
746,IHECRE00001535.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
747,IHECRE00001245.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
748,IHECRE00001254.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
749,IHECRE00001278.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
750,IHECRE00001298.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
751,IHECRE00001305.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
752,IHECRE00001364.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
753,IHECRE00001373.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
754,IHECRE00001399.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
755,IHECRE00001416.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
756,IHECRE00001419.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
757,IHECRE00001432.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
758,IHECRE00001443.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
759,IHECRE00001447.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
760,IHECRE00001464.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
761,IHECRE00001489.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
762,IHECRE00000188.3,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
763,IHECRE00001241.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
764,IHECRE00001259.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
765,IHECRE00001280.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
766,IHECRE00001294.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
767,IHECRE00001296.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
768,IHECRE00001324.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
769,IHECRE00001340.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
770,IHECRE00001357.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
771,IHECRE00001374.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
772,IHECRE00001393.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
773,IHECRE00001401.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
774,IHECRE00001418.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
775,IHECRE00001505.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
776,IHECRE00001532.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
777,IHECRE00001302.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
778,IHECRE00001341.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
779,IHECRE00001414.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
780,IHECRE00001512.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
781,IHECRE00001258.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
782,IHECRE00001395.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
783,IHECRE00001422.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
784,IHECRE00001425.1,Cancer,peripheral blood,"231,120,104",venous blood,"226,84,64",Chronic Lymphocytic Leukemia
